,imdb_title_id,original_title,year,date_published,genre,duration,country,language,director,actors
0,tt0017938,La glace à trois faces,1983,1983-03-13,"Drama, Romance",45,France,"None, French",Jean Epstein,"Jeanne Helbling, Suzy Pierson, Olga Day, Raymond Guérin-Catelain, Jean Garat, René Ferté"
1,tt0052205,The Small World of Sammy Lee,1963,1963-04-01,Drama,107,UK,English,Ken Hughes,"Anthony Newley, Julia Foster, Robert Stephens, Wilfrid Brambell, Warren Mitchell, Miriam Karlin, Kenneth J. Warren, Clive Colin Bowler, Toni Palmer, Harry Locke, Al Mulock, Cyril Shaps, Roy Kinnear, Derek Nimmo, Harry Baird"
2,tt0052607,The Battle of the Sexes,1960,1960-08-22,Comedy,84,UK,English,Charles Crichton,"Peter Sellers, Robert Morley, Constance Cummings, Jameson Clark, Ernest Thesiger, Donald Pleasence, Moultrie Kelsall, Alex Mackenzie, Roddy McMillan, Michael Goodliffe, James Gibson, Noel Howlett, Abe Barker, Gordon Phillott, William Mervyn"
3,tt0052698,Classe tous risques,1960,1960-04-01,"Crime, Drama, Romance",110,"France, Italy","French, Italian",Claude Sautet,"Lino Ventura, Sandra Milo, Jean-Paul Belmondo, Marcel Dalio, Michel Ardan, Simone France, Michèle Méritz, Stan Krol, Evelyne Ker, Betty Schneider, France Asselin, Jean-Pierre Zola, Sylvain Levignac, Jeanne Pérez, René Génin"
4,tt0052721,Darbuján a Pandrhola,1960,1960-06-10,"Comedy, Fantasy",80,Czechoslovakia,Czech,Martin Fric,"Jirí Sovák, Rudolf Hrusínský, Václav Lohniský, Josef Hlinomaz, Milka Balek-Brodská, Jan Bobek, Bedrich Bozdech, Otakar Brousek, Jirina Bílá, Josef Cermák, Vítezslav Cerný, Oldrich Dedek, Frantisek Miroslav Doubrava, Alois Dvorský, Michal Dána"
5,tt0052737,Le dialogue des Carmélites,1960,1960-06-01,"Drama, History",112,"France, Italy",French,"Philippe Agostini, Raymond Leopold Bruckberger","Jeanne Moreau, Alida Valli, Madeleine Renaud, Pascale Audret, Pierre Brasseur, Jean-Louis Barrault, Anne Doat, Georges Wilson, Pierre Bertin, Claude Laydu, Judith Magre, Simone Angèle, Pascale de Boysson, Jacqueline Dane, Paula Dehelly"
6,tt0052745,A Dog of Flanders,1960,1960-03-17,"Drama, Family",96,USA,English,James B. Clark,"David Ladd, Donald Crisp, Theodore Bikel, Max Croiset, Monique Ahrens, Siobhan Taylor, Gijsbert Tersteeg, John Soer, Katherine Holland, Lo van Hensbergen, Hans Tiemeijer, Maxim Hamel, John De Freese, Matthieu van Eysden, Katja Berndsen"
7,tt0052768,Dúvad,1961,1961-05-25,Drama,96,Hungary,Hungarian,Zoltán Fábri,"Ferenc Bessenyei, Tibor Bitskey, Mária Medgyesi, Béla Barsi, György Györffy, Pál Nádai, Sándor Siménfalvy, Antal Farkas, Anna Báró, Kati Böröndi, Árpád Gyenge, Dorottya Géczy, Sándor Hindy, József Horváth, Gyula id. Szabó"
8,tt0052781,Era notte a Roma,1960,1961-07-05,"Drama, War",138,"Italy, France","Italian, German, Russian, English",Roberto Rossellini,"Leo Genn, Giovanna Ralli, Sergey Bondarchuk, Hannes Messemer, Peter Baldwin, Laura Betti, Rosalba Neri, Giulio Calì, Sergio Fantoni, Roberto Palombi, George Petrarca, Carlo Reali, Enrico Maria Salerno, Renato Salvatori, Paolo Stoppa"
9,tt0052784,El esqueleto de la señora Morales,1960,1960-05-26,"Comedy, Crime, Horror",92,Mexico,Spanish,Rogelio A. González,"Arturo de Córdova, Amparo Rivelles, Elda Peralta, Guillermo Orea, Rosenda Monteros, Luis Aragón, Mercedes Pascual, Antonio Bravo, Angelines Fernández, Armando Arriola, Paz Villegas, Roberto Meyer, Pepita González, León Barroso"
10,tt0052811,The Flesh and the Fiends,1960,1960-11-04,"Crime, Drama, Horror",94,UK,English,John Gilling,"Peter Cushing, June Laverick, Donald Pleasence, George Rose, Renee Houston, Dermot Walsh, Billie Whitelaw, John Cairney, Melvyn Hayes, June Powell, Andrew Faulds, Philip Leaver, George Woodbridge, Garard Green, Esma Cannon"
11,tt0052832,The Fugitive Kind,1960,1960-10-28,"Drama, Romance",119,USA,English,Sidney Lumet,"Marlon Brando, Anna Magnani, Joanne Woodward, Maureen Stapleton, Victor Jory, R.G. Armstrong, Virgilia Chew, Ben Yaffee, Joe Brown Jr., Mary Perry, Madame Spivy, John Baragrey, Sally Gracie, Lucille Benson, Emory Richardson"
12,tt0052949,Journey to the Lost City,1960,1960-10-01,Adventure,95,"West Germany, France, Italy",German,Fritz Lang,"Debra Paget, Paul Hubschmid, Walther Reyer, Claus Holm, Sabine Bethmann, Valéry Inkijinoff, René Deltgen, Jochen Brockmann, Jochen Blume, Luciana Paluzzi, Guido Celano, Richard Lauffen, Helmut Hildebrand, Panos Papadopulos, Victor Francen"
13,tt0052961,Kapò,1960,1960-09-29,"Drama, War",117,"Italy, France, Yugoslavia","Italian, German, Russian, Polish",Gillo Pontecorvo,"Susan Strasberg, Laurent Terzieff, Emmanuelle Riva, Didi Perego, Gianni Garko, Annabella Besi, Graziella Galvani, Paola Pitagora, Eleonora Bellinzaghi, Bruno Scipioni, Dragomir Felba, Mira Dinulovic, Semka Sokolovic-Bertok, Dirjana Dojic"
14,tt0052997,The League of Gentlemen,1960,1960-10-21,"Comedy, Crime, Thriller",116,UK,English,Basil Dearden,"Jack Hawkins, Nigel Patrick, Roger Livesey, Richard Attenborough, Bryan Forbes, Kieron Moore, Terence Alexander, Norman Bird, Robert Coote, Melissa Stribling, Nanette Newman, Lydia Sherwood, Doris Hare, David Lodge, Patrick Wymark"
15,tt0053092,Nacht fiel über Gotenhafen,1960,1960,"Drama, War",99,West Germany,German,Frank Wisbar,"Sonja Ziemann, Gunnar Möller, Erik Schumann, Brigitte Horney, Mady Rahl, Erich Dunskus, Willy Maertens, Edith Schultze-Westrum, Wolfgang Preiss, Tatjana Iwanow, Christine Mylius, Aranka Jaenke, Dietmar Schönherr, Georg Lehn, Hela Gruel"
16,tt0053106,Neotpravlennoe pismo,1960,1961-02-02,"Adventure, Drama",96,Soviet Union,Russian,Mikhail Kalatozov,"Innokentiy Smoktunovskiy, Tatyana Samoylova, Vasiliy Livanov, Evgeniy Urbanskiy, Galina Kozhakina"
